business_date,year,month,day_name,dow_num,is_weekend,quarters,price_mean,price_median,price_min,price_max,price_std,res_share_mean,negative_quarters,spread_20
2024-06-14,2024,6,Friday,4,False,96,536.74,478.26,361.77,886.78,149.21,0.2142,0,408.36
2024-06-15,2024,6,Saturday,5,True,96,336.25,462.94,-109.61,632.85,260.45,0.3474,24,668.88
2024-06-16,2024,6,Sunday,6,True,96,419.54,373.21,308.44,687.15,102.11,0.2454,0,268.07
2024-06-17,2024,6,Monday,0,False,96,535.8,425.62,267.11,1222.63,282.71,0.2432,0,751.13
2024-06-18,2024,6,Tuesday,1,False,96,582.53,478.3,266.05,1489.4,349.23,0.2422,0,882.41
2024-06-19,2024,6,Wednesday,2,False,96,472.85,428.22,259.4,915.47,172.83,0.2778,0,464.87
2024-06-20,2024,6,Thursday,3,False,96,493.71,409.56,116.15,1389.72,336.75,0.2997,0,897.65
2024-06-21,2024,6,Friday,4,False,96,497.73,432.77,298.65,972.32,179.69,0.2556,0,467.21
2024-06-22,2024,6,Saturday,5,True,96,334.29,380.08,-2.07,519.85,147.23,0.3431,4,408.39
2024-06-23,2024,6,Sunday,6,True,96,233.19,270.94,-106.02,633.7,252.59,0.3896,28,665.26
2024-06-24,2024,6,Monday,0,False,96,598.6,500.97,369.78,1400.37,290.02,0.2223,0,730.6
2024-06-25,2024,6,Tuesday,1,False,96,592.9,496.7,328.17,1444.18,305.69,0.2081,0,781.98
2024-06-26,2024,6,Wednesday,2,False,96,563.69,475.18,265.96,1557.04,319.81,0.2838,0,819.67
2024-06-27,2024,6,Thursday,3,False,96,598.22,502.88,266.76,1554.86,305.18,0.2832,0,789.35
2024-06-28,2024,6,Friday,4,False,96,595.38,526.0,444.88,1051.7,169.71,0.2523,0,433.87
2024-06-29,2024,6,Saturday,5,True,96,435.87,478.88,155.51,682.73,162.98,0.2936,0,460.92
2024-06-30,2024,6,Sunday,6,True,96,196.8,219.88,-101.7,504.0,215.02,0.446,28,557.64
2024-07-01,2024,7,Monday,0,False,96,670.04,577.26,425.45,1439.07,272.7,0.1987,0,715.59
2024-07-02,2024,7,Tuesday,1,False,96,548.16,525.22,301.85,1013.31,188.59,0.2428,0,520.03
2024-07-03,2024,7,Wednesday,2,False,96,533.51,453.09,365.17,1135.54,205.29,0.212,0,528.89
2024-07-04,2024,7,Thursday,3,False,96,443.97,412.94,275.76,756.08,132.55,0.2215,0,360.38
