day_name,dow_num,hour,price_median,price_mean,quarters
Friday,4,0,454.33,454.33,456
Friday,4,1,433.95,423.47,456
Friday,4,2,424.67,409.61,456
Friday,4,3,420.01,407.01,456
Friday,4,4,425.56,414.68,456
Friday,4,5,442.29,442.33,456
Friday,4,6,527.58,534.73,456
Friday,4,7,557.76,575.86,456
Friday,4,8,509.52,536.24,456
Friday,4,9,433.89,449.82,456
Friday,4,10,375.34,356.98,456
Friday,4,11,339.38,309.84,456
Friday,4,12,320.76,280.54,456
Friday,4,13,325.29,283.33,456
Friday,4,14,366.81,317.55,456
Friday,4,15,416.79,398.19,456
Friday,4,16,455.46,488.51,456
Friday,4,17,524.67,563.25,456
Friday,4,18,612.46,634.02,456
Friday,4,19,646.43,710.88,456
Friday,4,20,646.12,708.26,456
Friday,4,21,536.28,584.12,456
Friday,4,22,499.66,515.45,456
Friday,4,23,450.69,460.26,456
Monday,0,0,416.23,400.06,456
Monday,0,1,394.9,381.67,456
Monday,0,2,384.2,368.9,456
Monday,0,3,383.8,367.22,456
Monday,0,4,393.94,377.93,456
Monday,0,5,424.5,417.71,456
Monday,0,6,554.75,548.32,456
Monday,0,7,612.06,620.44,456
Monday,0,8,548.72,565.97,456
Monday,0,9,456.36,469.68,456
Monday,0,10,393.71,377.62,456
Monday,0,11,378.8,336.75,456
Monday,0,12,355.96,320.23,456
Monday,0,13,359.92,334.0,456
Monday,0,14,384.32,368.79,456
Monday,0,15,407.25,431.29,456
Monday,0,16,467.7,523.84,456
Monday,0,17,559.54,611.14,456
Monday,0,18,646.17,707.74,456
Monday,0,19,750.58,831.93,456
Monday,0,20,735.17,821.25,456
Monday,0,21,578.12,639.64,456
Monday,0,22,495.49,533.31,456
Monday,0,23,447.67,458.64,456
Saturday,5,0,469.35,470.7,456
Saturday,5,1,446.47,445.61,456
Saturday,5,2,435.48,431.66,456
Saturday,5,3,432.47,426.87,456
Saturday,5,4,433.4,427.32,456
Saturday,5,5,433.16,430.94,456
Saturday,5,6,442.2,441.92,456
Saturday,5,7,459.74,448.36,456
Saturday,5,8,435.56,414.81,456
Saturday,5,9,362.07,324.16,456
Saturday,5,10,251.22,242.53,456
Saturday,5,11,147.24,201.27,456
Saturday,5,12,99.51,178.82,456
Saturday,5,13,122.13,177.53,456
Saturday,5,14,161.74,209.35,456
Saturday,5,15,323.24,282.07,456
Saturday,5,16,420.87,386.21,456
Saturday,5,17,498.22,493.53,456
Saturday,5,18,575.17,565.62,456
Saturday,5,19,587.52,593.86,456
Saturday,5,20,578.24,596.97,456
Saturday,5,21,525.26,542.83,456
Saturday,5,22,487.42,490.15,456
Saturday,5,23,450.52,439.51,456
Sunday,6,0,435.59,415.83,456
