res_bin_label,res_bin_low,part_of_day,quarters,is_reliable,price_mean,price_median,negative_quarters,negative_share
0-10%,0.0,night,5651,True,465.03,452.72,0,0.0
0-10%,0.0,morning,1544,True,690.92,629.08,0,0.0
0-10%,0.0,midday,1025,True,750.04,665.98,0,0.0
0-10%,0.0,afternoon,3052,True,850.11,759.07,0,0.0
0-10%,0.0,evening,4892,True,680.19,595.54,0,0.0
10-20%,0.1,night,6414,True,451.24,436.2,0,0.0
10-20%,0.1,morning,2794,True,599.04,580.42,0,0.0
10-20%,0.1,midday,1993,True,595.28,552.89,0,0.0
10-20%,0.1,afternoon,3387,True,672.86,628.58,0,0.0
10-20%,0.1,evening,4064,True,571.76,524.41,0,0.0
20-30%,0.2,night,3693,True,406.97,402.12,3,0.0008
20-30%,0.2,morning,2681,True,525.53,513.72,0,0.0
20-30%,0.2,midday,1861,True,479.63,468.5,0,0.0
20-30%,0.2,afternoon,2690,True,545.26,526.86,3,0.0011
20-30%,0.2,evening,2228,True,489.84,467.1,0,0.0
30-40%,0.3,night,2093,True,336.61,357.6,29,0.0139
30-40%,0.3,morning,2410,True,448.83,452.83,30,0.0124
30-40%,0.3,midday,2141,True,412.63,416.78,7,0.0033
30-40%,0.3,afternoon,1851,True,454.23,447.72,5,0.0027
30-40%,0.3,evening,1203,True,410.06,413.19,0,0.0
40-50%,0.4,night,1101,True,218.99,248.8,119,0.1081
40-50%,0.4,morning,1789,True,379.03,404.79,35,0.0196
40-50%,0.4,midday,3297,True,314.6,347.47,151,0.0458
40-50%,0.4,afternoon,1074,True,348.83,375.9,40,0.0372
40-50%,0.4,evening,309,True,248.99,287.85,5,0.0162
50-60%,0.5,night,166,True,99.96,43.37,46,0.2771
50-60%,0.5,morning,982,True,296.51,331.75,65,0.0662
50-60%,0.5,midday,4412,True,167.62,180.4,822,0.1863
50-60%,0.5,afternoon,530,True,203.52,228.04,73,0.1377
50-60%,0.5,evening,56,True,181.85,164.68,5,0.0893
60-70%,0.6,night,10,False,333.72,332.15,0,0.0
60-70%,0.6,morning,459,True,206.49,180.93,51,0.1111
60-70%,0.6,midday,3269,True,68.45,15.95,1150,0.3518
60-70%,0.6,afternoon,156,True,56.39,19.63,42,0.2692
70-80%,0.7,morning,87,True,166.1,135.77,9,0.1034
70-80%,0.7,midday,1061,True,-6.63,0.02,489,0.4609
70-80%,0.7,afternoon,12,False,15.4,0.01,5,0.4167
80-90%,0.8,morning,6,False,51.96,45.51,0,0.0
80-90%,0.8,midday,69,True,-4.98,0.12,21,0.3043
